,name,ratting,reviews,salaries,company_details
0,TCS,3.7,83.7k,9L,IT Services & Consulting | Mumbai +370 other locations
1,Accenture,3.9,52.2k,6L,IT Services & Consulting | Dublin +190 other locations
2,Cognizant,3.8,46.9k,5.9L,IT Services & Consulting | Teaneck. New Jersey. +189 other locations
3,Wipro,3.7,46.7k,4.5L,IT Services & Consulting | Bangalore/Bengaluru +296 other locations
4,Capgemini,3.8,38.6k,4.5L,IT Services & Consulting | Paris +154 other locations
5,HDFC Bank,3.9,37.3k,1.4L,Banking | Mumbai +1613 other locations
6,ICICI Bank,4.0,36.5k,1.5L,Banking | Mumbai +1323 other locations
7,Infosys,3.7,36.2k,4.8L,IT Services & Consulting | Bengaluru/Bangalore +194 other locations
8,HCLTech,3.6,33.4k,3.3L,IT Services & Consulting | Noida +196 other locations
9,Tech Mahindra,3.6,30.6k,2.6L,IT Services & Consulting | Pune +277 other locations
10,Genpact,3.9,29.1k,2L,IT Services & Consulting | New York +133 other locations
11,Teleperformance,3.9,26.9k,90k,BPO | Paris +202 other locations
12,Concentrix Corporation,3.8,24.8k,1.2L,BPO | Fremont +137 other locations
13,Axis Bank,3.8,24k,99.1k,Banking | Mumbai +1353 other locations
14,Amazon,4.1,23.6k,1.3L,Internet | Seattle +455 other locations
15,Jio,3.9,21.6k,64.6k,Navi Mumbai +1199 other locations
16,Reliance Retail,3.9,21.1k,65.9k,Retail | Ghansoli +1036 other locations
17,IBM,4.1,21k,2.1L,IT Services & Consulting | Armonk +154 other locations
18,iEnergizer,4.7,20k,20.8k,BPO | Noida +33 other locations
19,HDB Financial Services,4.0,19.3k,49.9k,NBFC | Ahmedabad +983 other locations
20,Larsen & Toubro Limited,4.0,17.7k,70.6k,Engineering & Construction | Mumbai +645 other locations
21,Deloitte,3.8,16.6k,2L,Management Consulting | London +157 other locations
22,BYJU'S,3.1,15.9k,60.9k,EdTech | Bangalore +310 other locations
23,Kotak Mahindra Bank,3.8,15.5k,83k,Banking | Mumbai +602 other locations
24,LTIMindtree,3.5,15.2k,1.8L,IT Services & Consulting | Mumbai +121 other locations
25,Reliance Industries,4.0,14.9k,67.5k,Oil & Gas | Navi Mumbai +717 other locations
26,Vodafone Idea,4.1,14.9k,55.5k,Telecom | Mumbai +652 other locations
27,Bharti Airtel,4.0,13k,46.3k,Telecom | Gurgaon/Gurugram +689 other locations
28,Tata Motors,4.2,11.3k,41.7k,Automobile | Pune +459 other locations
29,WNS,3.4,10.5k,56.7k,BPO | Mumbai +42 other locations
30,Flipkart,4.0,10.3k,48.6k,Internet | Bangalore +520 other locations
31,IndusInd Bank,3.6,10.2k,48.3k,Banking | Gurgaon/Gurugram +715 other locations
32,Ernst & Young,3.5,9.9k,1.2L,Management Consulting | London +108 other locations
33,IDFC FIRST Bank,4.0,9.6k,44.4k,Banking | Mumbai +613 other locations
34,DXC Technology,3.7,9.5k,78.3k,IT Services & Consulting | Minato +100 other locations
35,AU Small Finance Bank,4.3,9.4k,20.7k,Banking | Jaipur +438 other locations
36,Mahindra & Mahindra,4.1,9.4k,37.8k,Automobile | Mumbai +498 other locations
37,Infosys BPM,3.7,9.1k,65.8k,BPO | Bangalore/Bengaluru +77 other locations
38,Bajaj Finserv,4.0,8.6k,26.7k,Financial Services | Pune +961 other locations
39,HDFC Life,4.0,8.5k,31.1k,Insurance | Mumbai +590 other locations
40,PwC,3.4,8.4k,93.5k,Management Consulting | London +106 other locations
41,Conneqt Business Solutions,3.7,8.4k,26.6k,BPO | Mumbai +236 other locations
42,Mphasis,3.4,7.7k,68.7k,IT Services & Consulting | Bangalore/Bengaluru +53 other locations
43,HSBC Group,4.0,7.2k,59.5k,Financial Services | Pune +62 other locations
44,Yes Bank,3.8,7.2k,43.6k,Banking | Mumbai +473 other locations
45,Maruti Suzuki,4.2,7.1k,25.6k,Automobile | New Delhi +390 other locations
46,Startek,3.2,7k,23.3k,Mumbai +73 other locations
47,Paytm,3.3,7k,33.2k,FinTech | Noida +340 other locations
48,Asian Paints,4.0,7k,23.1k,Chemicals | Mumbai +466 other locations
49,Bandhan Bank,3.7,7k,21.8k,Banking | Kolkata +831 other locations
50,Samsung,4.0,6.9k,26.7k,Consumer Electronics & Appliances | Seoul +523 other locations
51,Ericsson,4.2,6.8k,43.3k,Telecom | Stockholm +150 other locations
52,Quess,3.9,6.8k,28.1k,BPO | Bangalore +594 other locations
53,Shriram Finance,4.1,6.8k,14.6k,NBFC | Mumbai +985 other locations
54,Hinduja Global Solutions,3.9,6.7k,23.8k,BPO | Bangalore/Bengaluru +106 other locations
55,EXL Service,3.8,6.6k,39.9k,Analytics & KPO | New York City +49 other locations
56,UltraTech Cement,4.2,6.5k,21.3k,Building Material | Mumbai +446 other locations
57,Cipla,4.1,6.5k,24.7k,Pharma | Mumbai +253 other locations
58,NTT Data Information Processing Services,4.0,6.5k,53k,IT Services & Consulting | Chiyoda City +61 other locations
59,Dr. Reddy's,4.1,6.5k,24.5k,Pharma | Hyderabad / Secunderabad +180 other locations
60,Sutherland Global Services,3.7,6.4k,29.9k,IT Services & Consulting | Greater Noida +61 other locations
61,Tata Steel,4.1,6.4k,28.8k,Iron & Steel | Mumbai +189 other locations
62,Bajaj Finance,4.0,6.2k,20.4k,NBFC | Pune +811 other locations
63,Muthoot Fincorp,4.5,6.1k,8.1k,NBFC | Trivandrum/Thiruvananthapuram +774 other locations
64,ICICI Prudential Life Insurance,4.1,6k,22k,Insurance | Mumbai +464 other locations
65,Wells Fargo,3.9,5.9k,51.3k,Financial Services | San Francisco +22 other locations
66,Jana Small Finance Bank,3.8,5.9k,15k,Banking | Bangalore/Bengaluru +365 other locations
67,Amazon Development Centre India,4.1,5.9k,31.5k,Internet | Hosur +94 other locations
68,Zydus Lifesciences,4.2,5.7k,18.7k,Pharma | Ahmedabad +157 other locations
69,Lupin,4.2,5.7k,22.5k,Pharma | Mumbai +175 other locations
70,Delhivery,3.9,5.7k,18.7k,Logistics | Delhi +659 other locations
71,L&T Construction,4.0,5.7k,19.3k,Engineering & Construction | Chennai +369 other locations
72,JPMorgan Chase & Co.,4.1,5.7k,73.7k,Financial Services | New York +36 other locations
73,Sun Pharmaceutical Industries,4.1,5.5k,22.2k,Pharma | Mumbai +219 other locations
74,Hexaware Technologies,3.6,5.4k,49.1k,IT Services & Consulting | Navi Mumbai +53 other locations
75,JSW Steel,4.0,5.3k,26.5k,Iron & Steel | Mumbai +154 other locations
76,ITC,4.0,5.3k,22.7k,FMCG | Kolkata +324 other locations
77,HCL Group,3.7,5.3k,56.6k,IT Services & Consulting | Rampur +80 other locations
78,FIS,3.9,5.3k,39.6k,FinTech | Jacksonville +47 other locations
79,Indian Army,4.7,5.3k,9.5k,Defence & Aerospace | New Delhi +337 other locations
80,Hindustan Unilever,4.2,5.3k,20.4k,FMCG | London +451 other locations
81,KPMG India,3.5,5.1k,55k,Management Consulting | Katihar +90 other locations
82,Max Life Insurance,4.1,5k,18.5k,Insurance | Gurgaon/Gurugram +423 other locations
83,IIFL Finance,4.0,5k,15k,NBFC | Mumbai +716 other locations
84,Ujjivan Small Finance Bank,4.1,5k,11.8k,Banking | Bangalore/Bengaluru +464 other locations
85,Oracle,3.7,5k,59.3k,Emerging Technologies | Austin +51 other locations
86,Udaan,4.0,5k,17.4k,Internet | Bangalore +344 other locations
87,Tata Projects,4.3,4.8k,20.1k,Engineering & Construction | Mumbai +249 other locations
88,Muthoot Finance,3.6,4.7k,12.3k,NBFC | Kochi/Cochin +682 other locations
89,Ekart Logistics,4.0,4.7k,13.2k,San Francisco +644 other locations
90,Megha Engineering & Infrastructures,4.0,4.7k,16.5k,Engineering & Construction | Hyderabad/Secunderabad +324 other locations
91,eClerx,3.4,4.7k,28.4k,IT Services & Consulting | Mumbai +21 other locations
92,Omega Healthcare,3.8,4.6k,22.5k,BPO | Boca Raton +55 other locations
93,Aurobindo Pharma,4.0,4.5k,21.8k,Pharma | Hyderabad/Secunderabad +96 other locations
94,JLL,4.2,4.5k,20.8k,Real Estate | Mumbai +74 other locations
95,Shapoorji Pallonji Group,4.2,4.5k,15.2k,Engineering & Construction | Mumbai +177 other locations
96,Bajaj Allianz Life Insurance,4.0,4.5k,15.9k,Insurance | Pune +528 other locations
97,Siemens,4.1,4.5k,31.4k,Industrial Automation | Munich +138 other locations
98,Coforge,3.4,4.4k,40.9k,IT Services & Consulting | Noida +91 other locations
99,Virtusa Consulting Services,3.8,4.4k,53.7k,IT Services & Consulting | Southborough +41 other locations
100,Indiamart Intermesh,3.5,4.4k,19.1k,Internet | Noida +147 other locations
101,L&T Technology Services,3.4,4.4k,38.3k,IT Services & Consulting | Vadodara/Baroda +64 other locations
102,Ashok Leyland,4.1,4.3k,18.1k,Automobile | Chennai +225 other locations
103,Apollo Hospitals,4.1,4.3k,15.9k,Healthcare | Chennai +194 other locations
104,First Source,3.7,4.3k,21.8k,BPO | Mumbai +56 other locations
105,Standard Chartered,3.8,4.3k,40.2k,Banking | London +62 other locations
106,DMart,4.0,4.3k,15.6k,Retail | Mumbai +217 other locations
107,JustDial,3.5,4.3k,15.5k,Internet | Mumbai +190 other locations
108,BigBasket,4.0,4.3k,17.1k,Internet | Bangalore +118 other locations
109,ICICI Lombard General Insurance Company,3.7,4.2k,18.8k,Insurance | Mumbai +272 other locations
110,Vivo,4.1,4.2k,13.6k,Consumer Electronics & Appliances | Gurgaon/Gurugram +384 other locations
111,Hero MotoCorp,4.2,4.2k,14.8k,Automobile | Gurgaon/Gurugram +323 other locations
112,Cyient,3.7,4.2k,26.8k,IT Services & Consulting | Hyderabad/Secunderabad +39 other locations
113,CGI Group,4.0,4.2k,43.8k,IT Services & Consulting | Montreal +32 other locations
114,Home Credit Finance,4.1,4.2k,10.6k,NBFC | Gurugram +119 other locations
115,Mahindra Finance,4.1,4.2k,11.2k,NBFC | Mumbai +657 other locations
116,GlobalLogic,3.7,4.2k,35.7k,IT Services & Consulting | San Jose +44 other locations
117,Equitas Small Finance Bank,4.3,4.2k,12k,Banking | Chennai +389 other locations
118,Cholamandalam Investment & Finance,4.0,4.1k,11.1k,Financial Services | Chennai +688 other locations
119,UST,3.8,4.1k,36.6k,IT Services & Consulting | Aliso Viejo +38 other locations
120,Bosch Global Software Technologies,4.0,4k,36.6k,Software Product | Gerlingen +32 other locations
121,OPPO,4.0,4k,12.6k,Consumer Electronics & Appliances | Dongguan +374 other locations
122,Nagarro,4.0,4k,28.5k,IT Services & Consulting | Munich +40 other locations
123,Manappuram Finance,4.0,4k,8k,NBFC | Thrissur/Trichur +540 other locations
124,SMFG India Credit,4.1,3.9k,10.6k,NBFC | Mumbai +508 other locations
125,TVS Motor,4.0,3.9k,14.7k,Automobile | Chennai +290 other locations
126,SBI Cards & Payment Services,3.7,3.9k,15.9k,Financial Services | Gurgaon/Gurugram +372 other locations
127,IQVIA,3.9,3.9k,28.3k,Clinical Research | Durham +49 other locations
128,Kalpataru Projects International,4.2,3.8k,12.5k,Engineering & Construction | Mumbai +268 other locations
129,Optum,4.0,3.8k,30.4k,Prairie +36 other locations
130,Atos Syntel,3.6,3.8k,34.1k,IT Services & Consulting | Troy +28 other locations
131,Swiggy,3.8,3.8k,20.8k,Internet | Bangalore +196 other locations
132,BNY,4.0,3.8k,29.2k,Financial Services | New York City +18 other locations
133,Amdocs,3.8,3.8k,36.2k,Software Product | Chesterfield +17 other locations
134,Hewlett Packard Enterprise,4.2,3.7k,27.5k,IT Services & Consulting | Houston +93 other locations
135,State Bank of India,3.8,3.7k,11.1k,Banking | Mumbai +523 other locations
136,Bosch,4.2,3.7k,20.5k,Auto Components | Gerlingen +107 other locations
137,CBRE,4.2,3.7k,16.9k,Real Estate | Los Angeles +79 other locations
138,Hyundai Motor India Limited,4.4,3.6k,13.7k,Automobile | Seoul +276 other locations
139,Dell,4.1,3.6k,27.6k,Consumer Electronics & Appliances | Round Rock +101 other locations
140,Persistent Systems,3.5,3.6k,37.8k,IT Services & Consulting | Pune +35 other locations
141,SBI Life Insurance Company,3.8,3.6k,11.5k,Insurance | Mumbai +562 other locations
142,JBM Group,4.0,3.6k,13.5k,Auto Components | Gurgaon/Gurugram +91 other locations
143,Schneider Electric,4.2,3.6k,21.5k,Industrial Automation | Paris +106 other locations
144,Ecom Express,3.9,3.5k,8.9k,Logistics | Gurgaon +659 other locations
145,Marpu Foundation,4.9,3.5k,39,Non-Profit | Hyderabad/Secunderabad +54 other locations
146,KEC International,4.1,3.5k,12k,Engineering & Construction | Mumbai +273 other locations
147,Bajaj Auto,3.9,3.5k,13.6k,Automobile | Pune +278 other locations
148,Nagarjuna Construction Company,4.2,3.5k,10.4k,Engineering & Construction | Hyderabad/Secunderabad +235 other locations
149,Oyo Rooms,3.3,3.5k,21.9k,Hospitality | Gurgaon +118 other locations
150,Piramal Capital Housing Finance,4.2,3.4k,9.1k,NBFC | Mumbai +349 other locations
151,ITC Infotech,3.8,3.4k,29k,IT Services & Consulting | Bangalore/Bengaluru +55 other locations
152,Aditya Birla Fashion and Retail,4.2,3.4k,12.2k,Fashion & Textile | Mumbai +243 other locations
153,Reliance Communications,4.0,3.4k,11.2k,Telecom | Navi Mumbai +436 other locations
154,CARS24,3.6,3.4k,13.9k,Internet | Gurgaon +155 other locations
155,Varun Beverages,4.1,3.3k,10.4k,Beverage | Gurgaon/Gurugram +309 other locations
156,Randstad,3.8,3.3k,15k,Recruitment | Chennai +275 other locations
157,EY Global Delivery Services ( EY GDS),3.6,3.2k,33.4k,Accounting & Auditing | Bangalore/Bengaluru +40 other locations
158,L&T Finance,4.0,3.2k,11.2k,NBFC | Mumbai +499 other locations
159,Tata Communications,4.1,3.2k,23.2k,Telecom | Mumbai +92 other locations
160,Kogta Financial India Limited,4.8,3.2k,1.6k,NBFC | Jaipur +228 other locations
161,Intas Pharmaceuticals,4.1,3.2k,15.9k,Ahmedabad +126 other locations
162,John Deere,4.1,3.2k,14.7k,Industrial Machinery | Moline +120 other locations
163,Deutsche Bank,3.9,3.2k,32.2k,Banking | Frankfurt +38 other locations
164,Royal Enfield,4.2,3.2k,13.6k,Automobile | Gurgaon/Gurugram +326 other locations
165,LG Electronics,4.0,3.1k,10.4k,Consumer Electronics & Appliances | Seoul +262 other locations
166,PolicyBazaar,3.6,3.1k,14.3k,Internet | Gurgaon +103 other locations
167,Thermax Limited,4.2,3.1k,12.1k,Industrial Machinery | Pune +194 other locations
168,Team Lease,3.9,3.1k,15.3k,Recruitment | Bangalore/Bengaluru +321 other locations
169,R1 RCM,3.9,3.1k,18.3k,Healthcare | Murray +35 other locations
170,Macleods Pharmaceuticals,3.7,3.1k,14.6k,Mumbai +105 other locations
171,Havells,4.0,3.1k,13.2k,Electrical Equipment | Noida +194 other locations
172,Access Healthcare,3.9,3k,20.7k,IT Services & Consulting | Dallas +34 other locations
173,Hetero Drugs,3.9,3k,14.1k,Hyderabad/Secunderabad +50 other locations
174,Godrej & Boyce Manufacturing,3.9,3k,15.4k,Consumer Electronics & Appliances | Mumbai +136 other locations
175,Future Group,4.3,3k,9.9k,Retail | Mumbai +202 other locations
176,Tata AIA Life Insurance,4.0,3k,12.7k,Insurance | Mumbai +362 other locations
177,Aakash Educational Services,3.5,3k,12k,Education & Training | New Delhi +217 other locations
178,Publicis Sapient,3.5,3k,28.3k,IT Services & Consulting | Boston +31 other locations
179,Cummins,4.3,3k,15.2k,Industrial Machinery | Columbus +92 other locations
